name,year,runtime,runtime_category,favorability_rounded,positive,neutral,negative,rating_normalized,country_normalized,genre_normalized
Harry Potter and the Goblet of Fire,2005,157.0,2,0.63,87,112,51,0,0,0
The 40-Year-Old Virgin,2005,116.0,2,0.69,40,45,18,1,1,1
Memoirs of a Geisha,2005,145.0,2,0.75,120,89,41,0,2,2
Pride & Prejudice,2005,129.0,2,0.83,93,98,19,2,2,2
Batman Begins,2005,140.0,2,0.84,128,97,25,0,0,3
The Descent,2005,99.0,1,0.49,90,68,92,1,0,0
Brokeback Mountain,2005,134.0,2,0.62,107,78,65,1,1,2
Sin City,2005,124.0,2,0.78,111,107,32,1,1,4
V for Vendetta,2005,132.0,2,0.71,83,134,34,1,1,3
Wedding Crashers,2005,119.0,2,0.63,17,21,10,1,1,1
War of the Worlds,2005,116.0,2,0.6,100,82,68,0,1,0
Kingdom of Heaven,2005,144.0,2,0.66,113,76,59,1,0,3
Constantine,2005,121.0,2,0.74,98,118,34,1,1,3
Star Wars: Episode III - Revenge of the Sith,2005,140.0,2,0.63,96,55,56,0,1,3
King Kong,2005,187.0,2,0.77,116,100,34,0,1,3
The Hitchhiker's Guide to the Galaxy,2005,109.0,2,0.7,97,112,42,2,0,0
Fantastic Four,2005,106.0,2,0.65,103,92,55,0,1,3
Fantastic Four,2015,100.0,1,0.65,103,92,55,0,1,3
Green Street Hooligans,2005,109.0,2,0.58,91,95,65,1,0,4
Serenity,2005,119.0,2,0.56,91,87,72,0,1,3
Serenity,2019,106.0,2,0.56,91,87,72,1,0,2
Mr. & Mrs. Smith,2005,120.0,2,0.68,91,117,42,0,1,3
The Island,1980,109.0,2,0.67,105,94,51,1,1,3
The Island,2005,136.0,2,0.67,105,94,51,0,1,3
Waiting...,2005,94.0,1,0.77,23,12,7,1,1,1
Match Point,2005,124.0,2,0.59,67,50,47,1,0,2
Hostel,2005,94.0,1,0.49,41,58,43,1,1,5
Assault on Precinct 13,2005,109.0,2,0.65,55,52,30,1,2,3
Hard Candy,2005,104.0,2,0.53,85,90,75,1,1,2
The Sisterhood of the Traveling Pants,2005,119.0,2,1.0,6,0,0,2,1,1
The Longest Yard,2005,113.0,2,0.75,12,11,4,0,1,1
Red Eye,2005,85.0,1,0.73,46,47,17,0,1,6
House of Wax,2005,113.0,2,0.62,104,83,64,1,3,5
Four Brothers,2005,109.0,2,0.77,64,167,19,1,1,3
The Dukes of Hazzard,2005,104.0,2,0.74,93,77,33,0,1,1
The Interpreter,2005,128.0,2,0.65,55,46,29,0,0,4
Walk the Line,2005,136.0,2,0.78,45,31,13,0,1,7
Lords of Dogtown,2005,107.0,2,0.83,53,46,11,0,1,7
Munich,2005,164.0,2,0.56,62,81,49,1,1,3
Kiss Kiss Bang Bang,2005,103.0,2,0.79,106,116,28,1,1,1
The Constant Gardener,2005,129.0,2,0.66,67,56,34,1,0,2
The Pacifier,2005,95.0,1,0.79,19,20,5,2,4,3
A History of Violence,2005,96.0,1,0.65,74,61,40,1,4,2
The Devil's Rejects,2005,107.0,2,0.5,1,0,1,1,1,5
Hitch,2005,118.0,2,0.72,74,147,29,0,1,1
Mirrormask,2005,101.0,2,0.8,4,6,1,2,0,0
Rent,2005,135.0,2,0.72,34,41,13,0,1,2
Robots,2005,91.0,1,0.73,16,12,6,2,1,8
Jarhead,2005,125.0,2,0.59,92,95,63,1,1,3
Into the Blue,2005,110.0,2,0.74,32,31,11,0,1,3
Saw II,2005,93.0,1,0.71,76,88,31,1,4,5
Revolver,2005,111.0,2,0.0,0,1,0,1,2,3
Coach Carter,2005,136.0,2,0.77,49,42,15,0,1,7
Dark Water,2005,105.0,2,0.54,93,79,78,0,1,2
Lord of War,2005,122.0,2,0.58,88,98,64,1,2,3
Zathura: A Space Adventure,2005,101.0,2,0.77,114,102,34,2,1,3
The Quiet,2005,96.0,1,0.66,129,56,65,1,1,4
The Amityville Horror,2005,90.0,1,0.59,58,65,40,1,1,5
Be Cool,2005,118.0,2,0.88,22,14,3,0,1,1
Just Friends,2005,96.0,1,0.75,128,80,42,0,5,1
"Yours, Mine & Ours",2005,88.0,1,1.0,2,6,0,2,1,1
Cinderella Man,2005,144.0,2,0.74,29,22,10,0,1,7
